Match_date,teamName,homeAway,Ball Possession,Goal Attempts,Shots On,Shots Off,Blocked Shots,Free kick,Offsides,Throw Ins,Saves,Fouls Commited,Red Cards,Yellow Cards,Assists 1st Half,Assists 2nd Half,Ball Possession 1st Half,Ball Possession 2nd Half,Blockes Shots 1st Half,Blockes Shots 2nd Half,Corners,Corners 1st Half,Corners 2nd Half,Counter Attacks,Counter Attacks 1st Half,Counter Attacks 2nd Half,Crosses,Crosses 1st Half,Crosses 2nd Half,Fouls Commited 1st Half,Fouls Commited 2nd Half,Free kick 1st Half,Free kick 2nd Half,Goal Attempts 1st Half,Goal Attempts 2nd Half,Goal Kick,Goal Kick 1st Half,Goal Kick 2nd Half,Goals 1st Half,Goals 2nd Half,Offsides 1st Half,Offsides 2nd Half,Red Cards 1st Half,Red Cards 2nd Half,Saves 1st Half,Saves 2nd Half,Shots Off 1st Half,Shots Off 2nd Half,Shots On 1st Half,Shots On 2nd Half,Substitute,Substitute 1st Half,Substitute 2nd Half,Throw Ins 1st Half,Throw Ins 2nd Half,Treatment 1st Half,Treatment 2nd Half,Yellow Cards 1st Half,Yellow Cards 2nd Half,Result
Match date: 31-08-2022 / 21:30,MANCHESTER CITY,1,75,17,9,6,2,9,2,15,1,9,0,0,1,1,78,75,1,1,10,5,5,2,1,1,22,15,7,4,5,5,4,9,8,4,1,3,3,3,2,0,0,0,0,1,4,2,4,5,5,0,5,9,6,0,0,0,0,W
Match date: 31-08-2022 / 21:30,NOTTINGHAM FOREST,2,25,8,1,4,3,11,2,10,3,7,0,1,0,0,22,25,0,3,1,0,1,3,1,2,6,3,3,4,3,6,5,1,7,9,5,4,0,0,1,1,0,0,1,2,1,3,0,1,5,0,5,5,5,0,0,0,1,L
Match date: 31-08-2022 / 21:30,ARSENAL,1,60,22,8,5,9,15,1,15,2,10,0,2,0,1,67,60,7,2,10,7,3,4,1,3,16,12,4,2,8,7,8,15,7,5,1,4,1,1,1,0,0,0,1,1,2,3,6,2,4,0,4,12,3,0,1,1,1,W
Match date: 31-08-2022 / 21:30,ASTON VILLA,2,40,5,3,2,0,11,1,13,6,14,0,3,0,0,33,40,0,0,3,0,3,2,1,1,9,0,9,7,7,3,8,2,3,12,6,6,0,1,0,1,0,0,5,1,1,1,1,2,3,0,3,6,7,0,0,1,2,L
Match date: 31-08-2022 / 21:30,BOURNEMOUTH,1,34,5,2,2,1,15,0,21,3,12,0,2,0,0,38,34,0,1,2,0,2,1,1,0,8,2,6,7,5,9,6,1,4,12,5,7,0,0,0,0,0,0,2,1,1,1,0,2,3,0,3,11,10,0,3,0,2,D
Match date: 31-08-2022 / 21:30,WOLVERHAMPTON,2,66,17,3,9,5,12,3,16,2,12,0,1,0,0,62,66,1,4,5,2,3,2,2,0,25,9,16,7,5,7,5,6,11,1,0,1,0,0,2,1,0,0,0,2,3,6,2,1,3,0,3,9,7,6,0,0,1,D
Match date: 31-08-2022 / 21:45,WEST HAM,1,38,14,4,8,2,9,1,16,4,10,0,2,0,1,40,38,1,1,3,3,0,3,1,2,16,10,6,3,7,4,5,7,7,5,1,4,0,1,1,0,0,0,3,1,3,5,3,1,3,0,3,10,6,3,3,0,2,D
Match date: 31-08-2022 / 21:45,TOTTENHAM,2,62,12,4,2,6,11,0,19,3,9,0,5,0,0,60,62,3,3,4,0,4,6,5,1,21,7,14,4,5,4,7,6,6,10,6,4,1,0,0,0,0,0,3,0,0,2,3,1,1,0,1,8,11,3,4,2,3,D
Match date: 31-08-2022 / 22:00,LIVERPOOL,1,72,23,6,9,8,12,2,24,1,9,0,0,0,2,72,72,3,5,13,8,5,8,5,3,49,20,29,5,4,2,10,5,18,6,2,4,0,2,1,1,0,0,1,0,2,7,0,6,3,0,3,12,12,3,0,0,0,W
Match date: 31-08-2022 / 22:00,NEWCASTLE,2,28,5,2,3,0,11,2,12,4,10,0,2,1,0,28,28,0,0,0,0,0,5,2,3,12,6,6,2,8,6,5,4,1,9,2,7,1,0,0,2,0,0,0,4,2,1,2,0,3,0,3,7,5,1,1,0,2,L
Match date: 01-09-2022 / 22:00,LEICESTER,1,53,10,2,4,4,17,0,18,1,7,0,1,0,0,48,53,0,4,1,0,1,4,1,3,12,6,6,5,2,8,9,2,8,4,2,2,0,0,0,0,0,0,1,0,1,3,1,1,2,0,2,9,9,0,3,0,1,L
Match date: 01-09-2022 / 22:00,MANCHESTER UTD,2,47,8,2,3,3,7,2,24,2,15,0,3,1,0,52,47,3,0,3,2,1,12,5,7,13,9,4,6,9,5,2,6,2,8,4,4,1,0,2,0,0,0,1,1,1,2,2,0,3,0,3,12,12,0,0,2,1,W
Match date: 03-09-2022 / 14:30,EVERTON,1,39,12,3,5,4,13,3,22,8,7,0,2,0,0,33,39,2,2,7,1,6,5,2,3,15,7,8,7,0,6,7,6,6,11,5,6,0,0,0,3,0,0,1,7,3,2,1,2,2,0,2,11,11,0,3,1,1,D
Match date: 03-09-2022 / 14:30,LIVERPOOL,2,61,20,8,7,5,10,2,35,3,11,0,2,0,0,67,61,2,3,9,2,7,0,0,0,33,18,15,5,6,7,3,6,14,7,4,3,0,0,1,1,0,0,1,2,3,4,1,7,5,0,5,19,16,4,0,0,2,D
Match date: 03-09-2022 / 17:00,BRENTFORD,1,32,14,8,6,0,11,1,14,4,8,0,2,0,0,33,32,0,0,2,1,1,1,0,1,10,6,4,3,5,6,5,5,9,8,3,5,2,3,1,0,0,0,1,3,2,4,3,5,5,0,5,4,10,0,4,0,2,W
Match date: 03-09-2022 / 17:00,LEEDS,2,68,15,6,7,2,9,1,22,3,10,0,2,0,1,67,68,1,1,6,3,3,1,1,0,13,7,6,6,4,4,5,4,11,8,3,5,1,1,0,1,0,0,1,2,1,6,2,4,5,0,5,15,7,0,3,1,1,L
Match date: 03-09-2022 / 17:00,TOTTENHAM,1,52,23,10,7,6,6,3,18,2,9,0,3,1,0,57,52,2,4,10,6,4,1,0,1,17,11,6,7,2,1,5,9,14,7,4,3,1,1,2,1,0,0,0,2,4,3,3,7,2,0,2,7,11,0,3,1,2,W
Match date: 03-09-2022 / 17:00,FULHAM,2,48,9,3,4,2,12,0,26,8,6,0,4,0,1,43,48,1,1,3,1,2,3,0,3,19,10,9,1,5,9,3,3,6,5,4,1,0,1,0,0,0,0,2,6,2,2,0,3,5,1,4,10,16,4,0,1,3,L
Match date: 03-09-2022 / 17:00,WOLVERHAMPTON,1,51,7,2,4,1,14,1,16,1,10,0,4,1,0,56,51,0,1,5,3,2,6,3,3,17,12,5,5,5,8,6,4,,11,5,6,1,0,0,1,0,,0,1,2,2,2,0,3,0,3,8,8,5,3,1,,W
Match date: 03-09-2022 / 17:00,SOUTHAMPTON,2,49,12,1,7,4,11,0,16,1,14,0,2,0,0,44,49,2,2,6,4,2,1,1,0,26,8,18,8,6,5,6,6,,8,4,4,0,0,0,0,0,,1,0,4,3,0,1,5,0,5,7,9,0,0,1,,L
Match date: 03-09-2022 / 17:00,NOTTINGHAM FOREST,1,52,9,3,3,3,11,1,20,0,13,0,2,1,0,55,52,2,1,4,3,1,0,0,0,28,11,17,7,6,7,4,5,4,6,1,5,2,0,1,0,0,0,0,0,1,2,2,1,3,0,3,13,7,3,3,1,1,L
Match date: 03-09-2022 / 17:00,BOURNEMOUTH,2,48,8,3,2,3,14,1,27,1,10,0,1,0,3,45,48,1,2,6,2,4,1,0,1,16,6,10,7,3,8,6,1,7,6,3,3,0,3,0,1,0,0,0,1,0,2,0,3,4,0,4,14,13,3,1,1,0,W
Match date: 03-09-2022 / 17:00,NEWCASTLE,1,52,24,5,8,11,13,2,16,9,19,0,2,0,0,51,52,7,4,13,6,7,1,1,0,39,21,18,6,13,6,7,15,,4,2,2,0,0,2,0,0,,4,5,4,4,4,1,4,0,4,3,13,3,0,1,,D
Match date: 03-09-2022 / 17:00,CRYSTAL PALACE,2,48,19,9,4,6,21,1,18,5,12,0,2,0,0,49,48,2,4,5,1,4,1,0,1,16,4,12,6,6,8,13,7,,11,6,5,0,0,0,1,0,,4,1,1,3,4,5,3,0,3,10,8,1,0,0,,D
Match date: 03-09-2022 / 17:00,CHELSEA,1,69,7,3,2,2,12,1,17,2,6,0,4,0,2,72,69,2,0,10,8,2,1,0,1,28,15,13,3,3,5,7,3,4,2,2,0,0,2,1,0,0,0,0,2,1,1,0,3,5,0,5,8,9,3,0,2,2,W
Match date: 03-09-2022 / 17:00,WEST HAM,2,31,6,3,2,1,7,1,20,1,11,0,2,0,1,28,31,0,1,3,0,3,4,1,3,11,4,7,5,6,4,3,1,5,11,4,7,0,1,0,1,0,0,0,1,1,1,0,3,3,0,3,12,8,3,3,0,2,L
Match date: 03-09-2022 / 19:30,ASTON VILLA,1,27,3,1,1,1,9,5,16,3,7,0,2,0,1,30,27,1,0,1,1,0,2,1,1,6,4,2,2,5,3,6,1,2,10,5,5,0,1,2,3,0,0,0,3,0,1,0,1,3,1,2,11,5,3,1,1,1,D
Match date: 03-09-2022 / 19:30,MANCHESTER CITY,2,73,12,4,5,3,12,3,18,0,6,0,0,0,1,70,73,2,1,4,3,1,0,0,0,16,8,8,3,3,4,8,4,8,3,1,2,0,1,0,3,0,0,0,0,2,3,0,4,2,0,2,12,6,0,0,0,0,D
Match date: 04-09-2022 / 16:00,BRIGHTON,1,54,23,11,5,7,11,2,14,2,6,0,1,1,1,51,54,5,2,10,3,7,6,3,3,25,12,13,2,4,5,6,12,11,4,1,3,2,3,1,1,0,0,1,1,5,0,2,9,4,0,4,9,5,3,0,1,0,W
Match date: 04-09-2022 / 16:00,LEICESTER,2,46,6,4,1,1,8,3,17,7,8,0,1,2,0,49,46,1,0,1,1,0,4,3,1,9,5,4,4,4,3,5,4,2,10,6,4,2,0,1,2,0,0,1,6,0,1,3,1,4,0,4,9,8,3,0,1,0,L
Match date: 04-09-2022 / 18:30,MANCHESTER UTD,1,40,8,6,2,0,9,4,16,2,13,0,3,1,2,46,40,0,0,2,0,2,4,0,4,6,4,2,5,8,6,3,5,3,11,5,6,1,2,0,4,0,0,1,1,2,0,3,3,4,0,4,10,6,6,3,0,3,W
Match date: 04-09-2022 / 18:30,ARSENAL,2,60,17,3,8,6,17,0,18,3,9,0,3,0,0,54,60,5,1,5,3,2,2,1,1,19,9,10,6,3,5,12,9,8,3,2,1,0,1,0,0,0,0,2,1,3,5,1,2,4,0,4,8,10,3,3,1,2,L
Match date: 16-09-2022 / 22:00,NOTTINGHAM FOREST,1,40,10,3,4,3,12,2,17,3,10,0,2,1,0,31,40,3,0,2,1,1,0,0,0,12,7,5,5,5,6,6,5,5,6,2,4,1,1,1,1,0,0,2,1,1,3,1,2,5,0,5,5,12,0,2,2,0,L
Match date: 16-09-2022 / 22:00,FULHAM,2,60,14,6,3,5,12,2,13,1,10,0,4,0,3,69,60,3,2,10,5,5,1,1,0,16,11,5,4,6,6,6,6,8,6,1,5,0,3,2,0,0,0,0,1,1,2,2,4,4,0,4,7,6,0,0,1,3,W
Match date: 16-09-2022 / 22:00,ASTON VILLA,1,52,13,4,4,5,13,1,27,1,13,0,3,0,0,55,52,4,1,6,5,1,2,1,1,20,15,5,5,8,5,8,9,4,8,5,3,1,0,1,0,0,0,0,1,2,2,3,1,4,1,3,15,12,1,1,1,2,W
Match date: 16-09-2022 / 22:00,SOUTHAMPTON,2,48,7,1,3,3,14,0,27,3,13,0,1,0,0,45,48,1,2,3,2,1,1,1,0,14,7,7,5,8,6,8,2,5,7,5,2,0,0,0,0,0,0,2,1,1,2,0,1,5,0,5,11,16,3,0,0,1,L
Match date: 17-09-2022 / 14:30,WOLVERHAMPTON,1,41,6,1,4,1,10,0,15,4,7,1,2,0,0,40,41,1,0,5,2,3,1,1,0,9,2,7,4,3,6,4,5,1,8,4,4,0,0,0,0,1,0,2,2,3,1,1,0,4,0,4,7,8,0,0,0,2,L
Match date: 17-09-2022 / 14:30,MANCHESTER CITY,2,59,15,7,4,4,7,1,16,1,9,0,1,2,1,60,59,3,1,7,2,5,4,2,2,18,8,10,6,3,4,3,9,6,5,4,1,2,1,0,1,0,0,1,0,2,2,4,3,5,0,5,8,8,3,0,1,0,W
Match date: 17-09-2022 / 17:00,NEWCASTLE,1,73,20,7,8,5,12,3,26,2,10,0,2,0,0,69,73,0,5,8,4,4,0,0,0,33,13,20,7,3,8,4,6,,6,3,3,0,1,1,2,0,,1,1,2,6,4,3,3,0,3,10,16,3,0,0,,D
Match date: 17-09-2022 / 17:00,BOURNEMOUTH,2,27,10,3,5,2,13,1,14,6,11,0,2,0,1,31,27,0,2,1,0,1,7,2,5,8,5,3,8,3,8,5,3,,11,3,8,0,1,0,1,0,,4,2,2,3,1,2,4,0,4,11,3,5,0,2,,D
Match date: 17-09-2022 / 19:30,TOTTENHAM,1,44,17,11,2,4,9,1,17,5,9,0,1,2,3,41,44,2,2,6,4,2,8,0,8,15,10,5,4,5,4,5,6,11,7,4,3,2,4,0,1,0,0,2,3,1,1,3,8,4,0,4,10,7,0,0,0,1,W
Match date: 17-09-2022 / 19:30,LEICESTER,2,56,19,7,7,5,10,0,8,5,9,0,2,1,0,59,56,4,1,1,0,1,2,1,1,13,7,6,4,5,4,6,13,6,2,1,1,2,0,0,0,0,0,1,4,5,2,4,3,3,0,3,2,6,0,0,0,2,L
Match date: 18-09-2022 / 14:00,BRENTFORD,1,36,5,2,3,0,11,3,18,4,10,0,0,0,0,34,36,0,0,3,2,1,0,0,0,18,9,9,3,7,3,8,2,3,4,3,1,0,0,1,2,0,0,1,3,1,2,1,1,4,0,4,13,5,0,2,0,0,L
Match date: 18-09-2022 / 14:00,ARSENAL,2,64,13,7,4,2,13,1,18,2,10,0,2,2,1,66,64,1,1,3,1,2,3,3,0,13,8,5,2,8,4,9,7,6,6,3,3,2,1,1,0,0,0,1,1,3,1,3,4,5,0,5,9,9,3,1,0,2,W
Match date: 18-09-2022 / 16:15,EVERTON,1,53,7,2,4,1,12,1,19,4,8,0,3,0,1,55,53,0,1,5,2,3,1,1,0,18,12,6,3,5,8,4,2,5,7,1,6,0,1,0,1,0,0,2,2,2,2,0,2,3,0,3,14,5,0,4,1,2,W
Match date: 18-09-2022 / 16:15,WEST HAM,2,47,14,4,4,6,9,1,21,1,11,0,1,0,0,45,47,2,4,14,8,6,1,1,0,26,11,15,7,4,3,6,4,10,10,7,3,0,0,1,0,0,0,0,1,0,4,2,2,4,0,4,13,8,1,0,0,1,L
Match date: 01-10-2022 / 14:30,ARSENAL,1,65,22,9,9,4,13,1,17,2,10,0,2,1,1,59,65,1,3,5,4,1,3,3,0,23,13,10,8,2,7,6,9,13,3,2,1,1,2,1,0,0,0,2,0,4,5,4,5,5,0,5,7,10,0,2,0,2,W
Match date: 01-10-2022 / 14:30,TOTTENHAM,2,35,7,3,2,2,11,3,17,6,10,1,1,0,0,41,35,0,2,2,1,1,3,2,1,11,8,3,5,5,9,2,4,3,12,4,8,1,0,2,1,0,1,3,3,1,1,3,0,5,0,5,6,11,0,0,0,1,L
Match date: 01-10-2022 / 17:00,BOURNEMOUTH,1,41,7,1,4,2,12,1,10,4,11,0,1,0,0,43,41,1,1,7,2,5,1,0,1,11,6,5,2,9,6,6,2,5,11,5,6,0,0,0,1,0,0,4,0,1,3,0,1,1,0,1,4,6,3,0,0,1,D
Match date: 01-10-2022 / 17:00,BRENTFORD,2,59,14,4,5,5,12,2,19,1,10,0,2,0,0,57,59,1,4,8,6,2,1,1,0,18,11,7,5,5,2,10,9,5,9,4,5,0,0,1,1,0,0,0,1,4,1,4,0,5,0,5,11,8,0,1,1,1,D
Match date: 01-10-2022 / 17:00,LIVERPOOL,1,54,15,7,4,4,13,1,25,3,9,0,1,1,1,54,54,3,1,9,4,5,4,0,4,21,10,11,4,5,5,8,9,6,1,0,1,1,2,1,0,0,0,2,1,3,1,3,4,5,0,5,10,15,0,0,0,1,D
Match date: 01-10-2022 / 17:00,BRIGHTON,2,46,6,6,0,0,10,0,14,5,13,0,1,2,0,46,46,0,0,2,1,1,1,1,0,15,6,9,5,8,5,5,4,2,11,6,5,2,1,0,0,0,0,2,3,0,0,4,2,3,0,3,7,7,0,1,1,0,D
Match date: 01-10-2022 / 17:00,CRYSTAL PALACE,1,35,7,3,4,0,15,1,15,1,10,0,1,1,0,25,35,0,0,5,3,2,1,1,0,7,3,4,5,5,6,9,5,2,10,5,5,1,0,1,0,0,0,0,1,3,1,2,1,4,1,3,9,6,2,3,1,0,L
Match date: 01-10-2022 / 17:00,CHELSEA,2,65,13,3,7,3,11,0,24,2,15,0,3,1,1,75,65,2,1,2,1,1,1,0,1,14,8,6,6,9,6,5,8,5,5,3,2,1,1,0,0,0,0,1,1,5,2,1,2,4,0,4,12,12,0,0,1,2,W
Match date: 01-10-2022 / 17:00,FULHAM,1,31,4,1,2,1,17,4,16,6,8,1,2,0,1,24,31,0,1,1,0,1,4,0,4,8,2,6,4,4,6,11,0,4,10,5,5,0,1,2,2,1,0,4,2,0,2,0,1,4,3,1,10,6,2,0,1,1,L
Match date: 01-10-2022 / 17:00,NEWCASTLE,2,69,20,10,5,5,12,8,14,0,9,0,0,2,1,76,69,3,2,8,4,4,10,1,9,18,14,4,2,7,6,6,13,7,3,0,3,3,1,4,4,0,0,0,0,3,2,7,3,5,0,5,9,5,1,0,0,0,W
Match date: 01-10-2022 / 17:00,SOUTHAMPTON,1,54,14,6,6,2,11,0,30,3,11,0,2,0,1,45,54,0,2,7,0,7,1,0,1,20,4,16,6,5,2,9,3,11,7,4,3,0,1,0,0,0,0,2,1,2,4,1,5,4,0,4,15,15,0,3,1,1,L
Match date: 01-10-2022 / 17:00,EVERTON,2,46,14,5,5,4,11,1,15,5,10,0,2,0,2,55,46,3,1,6,6,0,2,2,0,10,7,3,1,9,6,5,7,7,11,6,5,0,2,1,0,0,0,1,4,2,3,2,3,4,0,4,12,3,0,1,0,2,W
Match date: 01-10-2022 / 19:30,WEST HAM,1,38,18,5,4,9,7,2,11,4,9,0,2,0,0,36,38,3,6,1,0,1,2,0,2,7,3,4,6,3,3,4,7,11,15,5,10,1,1,1,1,0,0,3,1,2,2,2,3,3,1,2,4,7,1,3,0,2,W
Match date: 01-10-2022 / 19:30,WOLVERHAMPTON,2,62,15,4,7,4,11,1,21,3,6,0,2,0,0,64,62,1,3,6,3,3,1,0,1,18,5,13,3,3,7,4,5,10,6,4,2,0,0,0,1,0,0,1,2,1,6,3,1,4,1,3,11,10,4,0,2,0,L
Match date: 02-10-2022 / 16:00,MANCHESTER CITY,1,54,21,10,5,6,9,1,11,5,3,0,0,4,2,62,54,5,1,5,2,3,1,1,0,19,12,7,1,2,5,4,15,6,9,2,7,4,2,1,0,0,0,2,3,3,2,7,3,5,1,4,8,3,1,0,0,0,W
Match date: 02-10-2022 / 16:00,MANCHESTER UTD,2,46,11,8,2,1,4,0,17,4,9,0,3,0,1,38,46,1,0,1,0,1,0,0,0,5,2,3,5,4,2,2,3,8,8,5,3,0,3,0,0,0,0,3,1,0,2,2,6,5,1,4,5,12,3,0,2,1,L
Match date: 02-10-2022 / 18:30,LEEDS,1,44,6,1,2,3,14,0,18,7,23,1,3,0,0,63,44,2,1,2,1,1,0,0,0,8,6,2,11,12,8,6,4,2,8,1,7,0,0,0,0,0,1,5,2,2,0,0,1,5,0,5,15,3,0,3,3,0,D
Match date: 02-10-2022 / 18:30,ASTON VILLA,2,56,19,7,8,4,23,2,16,1,12,0,2,0,0,37,56,2,2,9,5,4,3,3,0,25,9,16,7,5,11,12,7,12,4,3,1,0,0,1,1,0,0,0,1,0,8,5,2,3,1,2,5,11,4,0,1,1,D
Match date: 03-10-2022 / 22:00,LEICESTER,1,51,17,7,6,4,16,3,13,3,13,0,2,1,1,57,51,3,1,6,3,3,3,1,2,8,5,3,4,9,11,5,12,5,6,2,4,3,1,2,1,0,0,0,3,4,2,5,2,4,0,4,7,6,0,3,0,2,W
Match date: 03-10-2022 / 22:00,NOTTINGHAM FOREST,2,49,10,3,4,3,16,4,18,3,12,0,4,0,0,43,49,3,0,6,3,3,1,0,1,11,4,7,9,3,6,10,4,6,8,4,4,0,0,2,2,0,0,2,1,1,3,0,3,5,0,5,5,13,0,0,2,2,L
Match date: 08-10-2022 / 17:00,CHELSEA,1,59,20,7,10,3,8,3,19,2,8,0,2,1,2,70,59,3,0,4,4,0,1,0,1,20,16,4,2,6,1,7,15,5,7,4,3,1,2,1,2,0,0,1,1,8,2,4,3,5,0,5,10,9,3,0,1,1,W
Match date: 08-10-2022 / 17:00,WOLVERHAMPTON,2,41,9,2,5,2,11,0,23,4,8,0,0,0,0,30,41,0,2,2,0,2,2,1,1,14,3,11,1,7,3,8,4,5,13,10,3,0,0,0,0,0,0,3,1,3,2,1,1,4,0,4,12,11,0,0,0,0,L
Match date: 08-10-2022 / 17:00,NEWCASTLE,1,53,15,6,3,6,12,1,18,2,14,0,0,2,0,61,53,3,3,9,6,3,6,3,3,13,9,4,5,9,8,4,7,8,5,3,2,2,3,1,0,0,0,1,1,0,3,4,2,5,0,5,11,7,6,1,0,0,W
Match date: 08-10-2022 / 17:00,BRENTFORD,2,47,7,3,1,3,15,3,14,2,9,0,1,0,0,39,47,0,3,5,0,5,2,0,2,14,4,10,6,3,6,9,1,6,7,2,5,0,1,2,1,0,0,2,0,0,1,1,2,5,0,5,5,9,0,0,1,0,L
Match date: 08-10-2022 / 17:00,MANCHESTER CITY,1,66,21,8,9,4,9,1,11,0,4,0,0,2,2,64,66,2,2,9,4,5,2,1,1,22,11,11,3,1,4,5,12,9,4,1,3,2,2,0,1,0,0,0,0,5,4,5,3,5,0,5,7,4,0,0,0,0,W
Match date: 08-10-2022 / 17:00,SOUTHAMPTON,2,34,5,0,3,2,5,1,9,4,8,0,1,0,0,36,34,0,2,1,0,1,1,0,1,6,2,4,3,5,3,2,1,4,12,6,6,0,0,1,0,0,0,3,1,1,2,0,0,4,0,4,5,4,3,0,1,0,L
Match date: 08-10-2022 / 17:00,BOURNEMOUTH,1,44,9,4,2,3,16,3,24,4,8,0,1,0,1,46,44,2,1,7,2,5,2,0,2,13,5,8,4,4,8,8,4,5,3,0,3,0,2,0,3,0,0,2,2,0,2,2,2,3,0,3,15,9,0,1,1,0,W
Match date: 08-10-2022 / 17:00,LEICESTER,2,56,10,5,2,3,11,0,15,2,16,0,2,0,0,54,56,1,2,2,1,1,0,0,0,8,5,3,8,8,4,7,5,5,4,1,3,1,0,0,0,0,0,2,0,1,1,3,2,4,0,4,6,9,2,0,0,2,L
Match date: 08-10-2022 / 19:30,BRIGHTON,1,58,14,4,5,5,16,2,18,2,9,0,1,0,0,55,58,2,3,6,5,1,1,1,0,17,10,7,3,6,5,11,8,6,14,7,7,0,0,1,1,0,0,2,0,3,2,3,1,4,0,4,7,11,0,0,0,1,L
Match date: 08-10-2022 / 19:30,TOTTENHAM,2,42,8,3,4,1,11,2,14,4,14,0,2,1,0,45,42,1,0,2,1,1,6,3,3,6,5,1,5,9,4,7,6,2,7,4,3,1,0,0,2,0,0,3,1,2,2,3,0,3,0,3,5,9,0,2,2,0,W
Match date: 09-10-2022 / 16:00,CRYSTAL PALACE,1,55,13,5,5,3,25,2,30,3,13,0,3,1,1,59,55,0,3,5,1,4,5,1,4,15,4,11,8,5,11,14,1,12,7,4,3,1,1,2,0,0,0,2,1,0,5,1,4,4,0,4,10,20,3,1,2,1,W
Match date: 09-10-2022 / 16:00,LEEDS,2,45,10,4,2,4,15,2,32,3,23,0,3,0,0,41,45,2,2,3,1,2,2,1,1,12,7,5,9,14,10,5,7,3,9,2,7,1,0,2,0,0,0,0,3,2,0,3,1,4,0,4,19,13,3,0,0,3,L
Match date: 09-10-2022 / 16:00,WEST HAM,1,51,17,8,3,6,9,1,16,1,9,0,1,0,1,52,51,3,3,4,3,1,0,0,0,14,8,6,6,3,6,3,9,8,6,3,3,1,2,0,1,0,0,1,0,2,1,4,4,3,0,3,9,7,1,0,0,1,W
Match date: 09-10-2022 / 16:00,FULHAM,2,49,7,2,3,2,10,2,17,5,7,0,3,1,0,48,49,0,2,2,1,1,4,2,2,10,3,7,4,3,6,4,3,4,7,4,3,1,0,2,0,0,0,3,2,1,2,2,0,4,0,4,9,8,0,0,1,2,L
Match date: 09-10-2022 / 18:30,ARSENAL,1,44,11,7,1,3,17,3,14,1,11,0,1,2,0,38,44,0,3,4,1,3,4,2,2,12,3,9,5,6,10,7,3,8,4,3,1,2,1,1,2,0,0,1,0,0,1,3,4,3,0,3,5,9,1,4,1,0,W
Match date: 09-10-2022 / 18:30,LIVERPOOL,2,56,8,3,2,3,14,6,29,4,11,0,2,1,1,62,56,1,2,3,2,1,1,1,0,16,7,9,5,6,6,8,5,3,3,0,3,1,1,5,1,0,0,1,3,2,0,2,1,5,1,4,14,15,3,0,1,1,L
Match date: 09-10-2022 / 21:00,EVERTON,1,39,12,2,3,7,17,1,12,2,7,0,2,0,0,30,39,0,7,5,0,5,0,0,0,21,2,19,2,5,7,10,1,11,9,2,7,1,0,0,1,0,0,2,0,0,3,1,1,4,0,4,4,8,2,0,0,2,L
Match date: 09-10-2022 / 21:00,MANCHESTER UTD,2,61,12,4,5,3,8,4,17,1,13,0,1,2,0,70,61,3,0,4,1,3,1,0,1,11,7,4,4,9,2,6,8,4,13,2,11,2,0,3,1,0,0,0,1,1,4,4,0,3,1,2,11,6,0,0,0,1,W
Match date: 10-10-2022 / 22:00,NOTTINGHAM FOREST,1,39,6,3,1,2,22,0,22,1,13,0,3,1,0,44,39,1,1,1,1,0,3,1,2,12,6,6,7,6,11,11,3,3,7,2,5,1,0,0,0,0,0,0,1,0,1,2,1,3,0,3,16,6,0,0,2,1,D
Match date: 10-10-2022 / 22:00,ASTON VILLA,2,61,12,2,1,9,13,3,19,2,19,0,3,0,0,56,61,5,4,4,2,2,1,0,1,20,7,13,9,10,7,6,6,6,3,0,3,1,0,2,1,0,0,1,1,0,1,1,1,3,0,3,11,8,0,0,1,2,D
Match date: 14-10-2022 / 22:00,BRENTFORD,1,27,8,3,4,1,18,0,13,7,12,0,3,1,0,36,27,0,1,2,1,1,1,0,1,9,6,3,6,6,10,8,5,3,7,4,3,1,1,0,0,0,0,3,4,3,1,2,1,5,0,5,10,3,3,3,1,2,W
Match date: 14-10-2022 / 22:00,BRIGHTON,2,73,20,7,2,11,12,3,17,1,15,0,1,0,0,64,73,5,6,11,4,7,0,0,0,30,11,19,9,6,6,6,9,11,6,5,1,0,0,1,2,0,0,1,0,1,1,3,4,3,0,3,7,10,0,0,1,0,L
Match date: 15-10-2022 / 14:30,LEICESTER,1,53,13,6,4,3,14,2,24,1,17,0,2,0,0,54,53,1,2,9,2,7,2,1,1,19,8,11,9,8,6,8,3,10,6,4,2,0,0,1,1,0,0,0,1,0,4,2,4,4,0,4,18,6,0,0,0,2,D
Match date: 15-10-2022 / 14:30,CRYSTAL PALACE,2,47,8,1,4,3,19,1,16,6,13,0,2,0,0,46,47,2,1,2,0,2,0,0,0,8,3,5,6,7,10,9,5,3,7,1,6,0,0,0,1,0,0,2,4,3,1,0,1,4,0,4,6,10,4,0,2,0,D
Match date: 15-10-2022 / 17:00,WOLVERHAMPTON,1,58,9,2,4,3,14,2,19,1,17,0,2,0,0,62,58,2,1,4,3,1,7,5,2,18,14,4,7,10,5,9,6,,10,2,8,0,1,1,1,0,,1,0,4,0,0,2,5,0,5,11,8,0,3,0,,W
Match date: 15-10-2022 / 17:00,NOTTINGHAM FOREST,2,42,10,2,5,3,19,1,18,1,13,0,2,0,0,38,42,2,1,5,3,2,4,1,3,20,8,12,5,8,8,11,4,,8,5,3,0,0,0,1,0,,0,1,1,4,1,1,4,0,4,9,9,0,0,1,,L
