homeAway,Ball_Possession_1st_Half,Corners_1st_Half,Fouls_Commited_1st_Half,Goals_1st_Half,Red_Cards_1st_Half,Shots_On_1st_Half,Yellow_Cards_1st_Half,Result,Shots_1st_Half
0,-0.19,0.0,2.0,1.0,0.0,3.0,0.0,1,8.0
1,0.21999999999999997,5.0,5.0,1.0,0.0,1.0,0.0,1,4.0
0,-0.21999999999999997,1.0,6.0,0.0,0.0,1.0,1.0,0,3.0
1,0.050000000000000044,3.0,7.0,1.0,0.0,3.0,0.0,1,6.0
0,-0.04999999999999999,2.0,6.0,0.0,0.0,0.0,1.0,0,0.0
1,-0.12,1.0,8.0,1.0,0.0,6.0,2.0,0,6.0
0,0.12,2.0,6.0,1.0,0.0,1.0,1.0,0,1.0
1,0.21999999999999997,7.0,4.0,1.0,1.0,4.0,1.0,1,7.0
0,-0.21999999999999997,0.0,5.0,1.0,0.0,1.0,2.0,0,1.0
1,0.09999999999999998,5.0,8.0,1.0,0.0,1.0,0.0,1,2.0
0,-0.09999999999999998,3.0,6.0,2.0,0.0,5.0,1.0,0,5.0
1,-0.2,0.0,8.0,2.0,1.0,2.0,0.0,0,2.0
0,0.19999999999999996,5.0,4.0,2.0,0.0,3.0,0.0,1,5.0
1,-0.030000000000000027,3.0,5.0,0.0,0.0,1.0,0.0,0,6.0
0,0.030000000000000027,2.0,4.0,1.0,0.0,4.0,0.0,1,9.0
1,-0.10999999999999999,1.0,10.0,0.0,0.0,1.0,1.0,0,2.0
0,0.10999999999999999,3.0,7.0,0.0,0.0,0.0,1.0,1,5.0
1,-0.010000000000000009,3.0,4.0,0.0,0.0,1.0,0.0,0,2.0
0,0.010000000000000009,2.0,4.0,1.0,0.0,1.0,0.0,1,3.0
1,0.0,1.0,3.0,2.0,0.0,2.0,1.0,1,4.0
0,0.0,3.0,5.0,1.0,0.0,2.0,1.0,0,2.0
1,-0.14,0.0,4.0,1.0,0.0,1.0,0.0,0,3.0
0,0.14,3.0,4.0,1.0,0.0,4.0,0.0,1,5.0
1,-0.14,0.0,6.0,0.0,0.0,2.0,0.0,0,2.0
0,0.14,2.0,5.0,2.0,0.0,4.0,0.0,1,5.0
1,0.22999999999999998,6.0,3.0,1.0,0.0,2.0,1.0,0,6.0
0,-0.22999999999999998,1.0,3.0,1.0,0.0,4.0,0.0,1,5.0
1,-0.020000000000000018,1.0,2.0,0.0,0.0,3.0,1.0,0,7.0
0,0.020000000000000018,2.0,4.0,1.0,0.0,4.0,0.0,1,5.0
1,-0.12,2.0,8.0,2.0,0.0,6.0,2.0,1,7.0
0,0.12,2.0,3.0,0.0,0.0,1.0,0.0,0,3.0
1,0.050000000000000044,6.0,4.0,1.0,0.0,4.0,0.0,1,5.0
0,-0.04999999999999999,1.0,2.0,2.0,0.0,4.0,0.0,0,4.0
1,-0.15000000000000002,1.0,5.0,0.0,0.0,0.0,0.0,1,2.0
0,0.15000000000000002,3.0,7.0,0.0,0.0,0.0,1.0,0,4.0
1,0.16000000000000003,0.0,3.0,3.0,0.0,7.0,0.0,1,8.0
0,-0.15999999999999998,0.0,3.0,1.0,0.0,1.0,1.0,0,3.0
1,0.06999999999999995,3.0,9.0,0.0,0.0,0.0,0.0,1,2.0
0,-0.07,1.0,4.0,0.0,0.0,1.0,1.0,0,1.0
1,-0.21000000000000002,3.0,2.0,0.0,0.0,0.0,2.0,0,2.0
0,0.20999999999999996,2.0,2.0,0.0,0.0,0.0,0.0,1,4.0
1,0.06999999999999995,8.0,6.0,1.0,0.0,1.0,0.0,0,1.0
0,-0.07,3.0,4.0,1.0,0.0,1.0,1.0,1,2.0
